REC_ID,COMPANY,DISPOSITION_TYPE,PRIMARY_CRIME_CODE,SWISS_BANK_PROGRAM,USAO,COUNTRY,FINANCIAL_INSTITUTION,CASE_NAME,CASE_ID,DOCKET_NO,DATE,JUDGMENT_DATE,PLEA_DATE,TICKER,US_PUBLIC_CO,ADDITIONAL_REGULATORY_FINE_OR_PAYMENT,COMMUNITY_SERVICE_OR_OTHER,FINE,FORFEITURE_DISGORGEMENT,PROBATION_LENGTH,RESTITUTION,TOTAL_PAYMENT,ACCEPTS_RESPONSIBILITY,AGREEMENT_REQUIRED_NEW_POSITIONS,AGREEMENT_REQUIRED_OUTSIDE_AUDITORS_OR_EXPERTS,CITATION_AND_DESCRIPTION,CIVIL_JUDGMENT_OR_SETTLEMENT,COMPLIANCE_PROGRAM_DESCRIPTION,COMPLIANCE_PROGRAM_REQUIRED_BY_AGREEMENT,COMPLIANCE_REQUIRED_BY_REGULATORS,CRIME_DESC,DESCRIPTION_OF_PAYMENTS,DOES_AGREEMENT_DISCUSS_REASONS_OR_RELEVENT_CONSIDERATIONS_FOR_LENIENCY,DOJ_CAN_UNILATERALLY_TERMINATE,FINE_CALCULATION_INCLUDED,FINE_DESCRIPTION,INDEP_MONITOR_REQUIRED,MUST_COMPORT_WITH_USSG_OR_AUDIT_COMPLIANCE,OTHER_AGREEMENT,OTHER_AGREEMENT_REQUIRED_GOVERNANCE_CHANGES,OTHER_COMPLIANCE_OFFICER_OR_CONSULTANT_REQUIRED,PARALLEL_CIVIL_SUIT,PARALLEL_REGULATORY_ACTION_OR_LOCAL_PROSECUTOR,PRE_AGREEMENT_COMPLIANCE,PRE_AGREEMENT_COMPLIANCE_DESCRIPTION,PRIVACY_WAIVER,REGULATORY_DISGORGEMENT_RESTITUTION_FORFEITURE,REGULATORY_FINE,REG_AGENCY,STATEMENT_OF_FACTS,TOTAL_REGULATORY,UNRELATED_TERMS,AGMT_YEAR,SOURCE,NOTES
826,A & G Coal Corp.,plea,OSHA / Workplace Safety / Mine Safety,,Virginia - Western District,United States,No,USA v. A & G Coal Corp. et al,2:00-cr-10035,23,2001-05-21,2001-05-21,2000-10-03,,No,0,,24000,0,42,436000,460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,PACER,
2528,"A B & J Coal Company, Inc.",plea,OSHA / Workplace Safety / Mine Safety,,Virginia - Western District,United States,No,"USA v. A B & J Coal Company, Inc.",1:13-cr-00044,15,2014-04-29,2014-04-29,0213-11-14,,No,,,25000,,12,0,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,PACER,
141,"A J & J Thornton Oil, Inc.",plea,Environmental,,Louisiana - Western District,United States,No,USA v. A J & J Thornton,1:02-cr-10027,19,2003-04-21,2003-04-21,2003-01-08,,No,,,5000,,12,0,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,PACER,
3140,A&L Cesspool Service Corporation,plea,Environmental,,New York - Eastern District,United States,No,USA v. A&L Cesspool Service Corporation,1:16-cr-00524,,,2016-11-07,2016-11-07,,No,,175000,375000,,24,,550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACER,
827,A-1 Barrel Company LLC,plea,Environmental,,Kansas,United States,No,USA v. A-1 Barrel Company LLC,2:12-cr-20067,13,2012-09-11,2012-09-11,2012-06-06,,No,,,15000,0,12,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,PACER,
828,"A-1 Homes, LLC",plea,Immigration,,Mississippi - Northern District,United States,No,USA v. Massey et al,3:13-cr-00019,16,2013-12-27,2013-12-27,2013-07-25,,No,800,0,0,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,PACER,
829,A.E. Nomikos Shipping Inv. Ltd.,plea,Act to Prevent Pollution from Ships,,Oregon,Greece,No,USA v. A.E. Nomikos Shipping Inv. Ltd.,3:11-cr-00439,13,2011-11-04,2011-11-04,2011-11-02,,No,,375000,375000,,36,,750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,PACER,
830,A.J.R. Publishing Inc.,plea,Fraud - General,,Florida - Southern District,United States,No,USA v. A.J.R. Publishing,1:03-cr-20516,83,2004-05-25,2004-05-25,2003-12-05,,No,,,6000,,60,50730,56730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,PACER,
142,"A.P. Moller-Maersk, A/S",plea,Act to Prevent Pollution from Ships,,California - Northern District,Denmark,No,USA,3:05-cr-00606,14,2005-09-30,2005-09-30,2005-09-27,,No,,100000,400000,,36,,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,PACER,
831,AA Communications Inc.,plea,Fraud - General,,Louisiana - Eastern District,United States,No,USA v. Moyo et al,2:07-cr-00384,371,2009-04-24,2009-04-24,2009-04-15,,No,0,0,12800,1495521,12,0,1508321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,PACER,
3090,"AADCO Medical, Inc.",plea,FDCA / Pharma,,Vermont,United States,,USA v. MARCHIONE ET AL,5:16-cr-00078,,2016-06-30,2016-06-30,2016-06-02,,No,,,5000,,,47945,52945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,PACER,Plea agreement not available via PACER
832,AAPEX Environmental Services Inc.,plea,Environmental,,New York - Northern District,United States,No,USA v. APPEX Environmental Services Inc.,5:08-cr-00171,11,2012-03-26,2012-03-26,2008-06-03,,No,,,166700,,24,,166700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,PACER,Cease all asbestos related work
833,AAR Contractor Inc.,plea,Fraud - General,,New York - Northern District,United States,No,USA v. Salvagno,5:02-cr-00051,429,2005-02-25,2005-02-25,2004-03-30,,No,2033457,,0,2033457,0,22875575,24909032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,PACER,
2,AB Volvo [on behalf of itself and subsidiaries Renault Trucks SAS and Volvo Construction Equipment AB],DP,FCPA,No,USDOJ - Criminal Division - Fraud Section,Sweden,No,,,,2008-03-20,,,,No,0,,7000000,,36,,7000000,Yes,"Yes; Assigning ""one or more senior corporate officials"" to compliance oversight, reporting directly to Audit Committee",No,"Government of Iraq, in civil suit naming 93 defendants, bringing RICO claims regarding U.N. Oil for Food FCPA violations",No,"System of internal accounting controls, implementation of compliance code; assignment of senior corporate officials to oversight; training mechanisms; reporting system",Yes,Yes; Must use qualified independent third party to review transactions; third party must review transactions annually for three years,FCPA; wire fraud,,"Yes; including thorough investigation, cooperation, remedial measures.",Yes,No,$7M fine.,No,No,,No,No,Yes,Yes; SEC,Yes,Yes; Implementation of compliance and ethics program,No; But withholding on grounds of privilege shall be a factor in determining whether full cooperation exists,8603000,4000000,None,Yes,12603000,No,2008,,Subsidiaries located in France and Sweden
834,ABB Inc.,plea,FCPA,,USDOJ - Criminal Division - Fraud Section,United States,No,USA v. ABB Inc,4:10-cr-00664,17,2010-10-01,2010-10-01,2010-09-29,,Yes,,,17100000,,0,,17100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,PACER,
564,ABB Ltd.,DP,FCPA,No,USDOJ - Criminal Division - Fraud Section,Switzerland,No,,,,2010-09-29,,,,Yes,0,,30420000,,36,,30420000,Yes,No,No,"Government of Iraq, in civil suit naming 93 defendants, bringing RICO claims regarding U.N. Oil for Food FCPA violations",No,Compliance and ethics program designed to detect and prevent violations of the FCPA and other applicable anti-corruption laws will continue and will implement certification systems for senior managers to ensure they are knowledgable,Yes,No,FCPA; wire fraud,,Yes,Yes,Yes; Bottom of Range,"30420000 - $30,420,000 [NOTE: Any criminal fines from ABB Ltd. deducted from $30,420,000. Broken down: $28,500,000 on behalf of ABB Inc.; $1,920,000 on behalf of ABB Ltd. - Jordan]",No,Yes; Periodic testing,,No,No,Yes,"Yes; SEC ($5,662,788 (prejudgment interest); [$17,141,474 in disgorgement])",Yes,"Yes; Hired independent compliance consultant, which developed 101-point compliance program; implementation of compliance program that includes retaining various senior officers and counsel to ensure adherence to FCPA",No,22804000,16510000,None,Yes,39314000,No,2010,,
835,ABB Middle East & Africa Participations AG,plea,Antitrust,,USDOJ - Antitrust Division,Switzerland,No,USA v. ABB Middle East,2:01-cr-00135,9,2001-04-12,2001-04-12,2001-04-11,,Yes,,,53000000,,60,,53000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,PACER,
143,ABB Vetco Gray (UK) Ltd.,plea,FCPA,,Texas - Southern District,United Kingdom,No,USA v. ABB Vetco Gray Inc,4:04-cr-00279,22,2004-07-15,2004-07-15,2004-07-09,,Yes,,,5250000,,60,,5250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,PACER,
836,"ABB Vetco Gray, Inc.",plea,FCPA,,Texas - Southern District,United States,No,USA v. ABB Vetco Gray Inc,4:04-cr-00279,23,2004-07-15,2004-07-15,2004-07-09,,Yes,16400000,,5250000,,60,,5250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,PACER,
144,"ABC Money Transactions, Inc.",plea,Bank Secrecy Act,,Virginia - Eastern District,United States,No,USA v. ABC Money Transactions Inc.,1:12-cr-00248,15,2012-08-31,2012-08-31,2012-06-20,,No,0,,0,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,PACER,
760,"ABC Professional Tree Services, Inc.",NP,Immigration,No,Texas - Southern District,United States,No,,,,2012-05-18,,,,No,2000000,,0,,,2000000,2000000,Yes,Yes,No,N,No,"Revised immigration compliance procedures, company-wide formal training, use E-Verify, internal discipline of noncompliant employees, revamp existing procedures for responding to complaints, designate employee responsible for immigration compliance",Yes,No,Immigration - employed illegal aliens,,No,Yes,No,$2M forfeiture,No,No,,No,No,No,,Yes,"Yes; Used E-verify, revised immigration compliance procedures to include new policies concerning the proper completion, retention, and auditing of I-9s, terminated undocumented workers",No,,,Dept. of Homeland Security - Immigration & Customs Enforcement (ICE),Yes,0,No,2012,FOIA request,
837,"ABI's Clinic, Ltd.",plea,Fraud - Health Care,,Missouri - Eastern District,United States,No,"USA v. ABI's Clinic, LTD",4:12-cr-00363,6,2013-01-03,2013-01-03,2012-09-28,,No,400,0,0,0,24,150000,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,PACER,
145,"ABL Aero, Inc.",plea,Import / Export,,District of Columbia,United States,No,USA v. ABL AERO Inc.et al,1:04-cr-00531,61,2006-08-10,2006-08-10,2006-04-27,,No,,,500000,,60,,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,PACER,
3,ABN AMRO Bank N.V.,DP,Bank Secrecy Act,No,USDOJ - Criminal Division - Asset Forfeiture & Money Laundering Section,Netherlands,Yes,,,,2010-05-10,,,,No,500000000,5000000,0,,12,500000000,505000000,Yes,No,No; Voluntarily retained previously.,"Yes, (derivative shareholder lawsuit, Seybold v. Groenink, 2007 WL 737502, dismissed for lack of standing)",,Compliance with Financial Action Task Force international Anti-Money Laundering and Combating Financing of Terrorism best practices and the Wolfsberg Anti-Money Laundering Principles for Correspondent Banking; independent third party conducted transaction review; implementing compliance procedures and training; applying OFAC sanctions list; use of SWIFT Message Transfer,Yes,"Yes; Cease and desist letter with OFAC and federal, state and foreign banking regulators","Bank Secrecy Act, Knowing and willful conspiring to defraud U.S. and OFAC; violation of International Emergency Economic Powers Act and Trading with the Enemy Act; failing to establish an adequate anti-money laundering program",($40M to Federal Reserve & OFAC; $30M to FinCen (satisfied by $40M to Fed Reserve & OFAC); $20M to NYSBD; $15M to IDFPR),"Yes; including remedial actions, terminating conduct, cooperation.",Yes; Upon written notice with two week opportunity to demonstrate no breach or breach has been cured,,"$500M forfeiture, $5,000,000 to Illinois Bank Examiner's Education Foundation (per agreement with OFAC)",No,No,,No,No,Yes,Yes; OFAC/Federal Reserve/FinCen/NYSBD/IDFPR,No,"No; Cites that firm terminated conduct; retained an outside independent firm to conduct review, and validate compliance program, created Compliance Committee, launched High Profile Compliance Initiative, among other changes.",No,0,75000000,Dept. of the Treasury - Office of Foreign Assets Control (OFAC); Federal Reserve; other - Illinois Dept. of Financial and Professional Regulation; other - New York State Banking Dept.,Yes,75000000,No,2010,,ABN Amro Holding NV (now known as Royal Bank of Scotland NV)
565,ABT Associates,DP,Other,No,Massachusetts,United States,No,,,,2007-01-18,,,,No,194578,,2121688,,27,194578,2316266,Yes,No,Yes; Third party auditor/CPA firm,,No,Foreign Currency Transition Policy; internal auditing program; training program,Yes,No,False Claims,,Yes; outside auditor.,Yes,No,$2.9 million in fines and restitution,No,Yes; Internal auditing program,,Yes; New procedures for supervision and auditor meetings with managers; cash rewards for uncovering significant billing errors,Yes,No,,Yes,"Yes; Abt ""has established"" a Foreign Currency Transaction Policy and Procedure",No,,,U.S. Agency for International Development (USAID),Yes,0,No,2007,,"Second time that ABT Assoc. came to an agreement with U.S. Attorney Office of Mass. For over-billing. In 1999, paid $1.9 million for premature billing of subcontractor costs."
2532,"ACHIEVE TOTAL FITNESS, INC.",plea,FDCA / Pharma,,Pennsylvania - Western District,United States,No,"USA v. ACHIEVE TOTAL FITNESS, INC.",2:15-cr-00032,9,2015-03-30,2015-03-30,,,No,400,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,PACER,
147,"ACS Environmental, Inc.",plea,Environmental,,"USDOJ,Virginia - Eastern District",United States,No,USA v. Air Power Enterprises Inc.et al,2:05-cr-00074,71,2006-04-03,2006-04-03,2005-06-28,,No,,,500000,,60,,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,PACER,
2748,ADA Fabricators Inc.,plea,Antitrust,,USDOJ - Antitrust Division,United States,No,USA v. ADA Fabricators Inc,1:00-cr-00097,10,2000-12-22,2000-12-22,2000-09-26,,No,,,,,24,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,PACER,
4,"ADA-ES, Inc. & ADA Environmental Solutions, LLC",NP,Fraud - General,No,Texas - Eastern District,United States,No,,,,2013-09-11,,,,No,,,0,,24,,0,"No; statement that the agreement is not an acknowledgement of civil liability or criminal culpability on the part of ABA or any of its current or former directors, officers, management, employees or agents.",No,No,,,Continue with training programs and compliance checks to ensure that confidential information is appropriately safeguarded. Provide report for 2 years about training and compliance efforts to AUSA.,Yes,No,"Fraud, conspiracy to defraud federal government, mail fraud, wire fraud, theft trade secrets, interstate transport stolen property",,"Yes; reached confidential settlement in 2011 and disclosed material terms on 10-k, training, compliance checks, remedial efforts undertaken prior to being notified of USAO investigation.",Yes,No,,No,Yes; Periodic review and testing,,No,No,,,Yes,"Yes; Employed general counsel, training all of employees in appropriate use and protection of confidential information, provided yearly training to employees, and provides compliance checks designed to ensure that proper safeguards are in place to protect confidential information",No,,,,No,,No,2013,,
2749,AEB Co.,plea,Food,,Illinois - Northern District,United States,No,USA v. A.E.B. Company,1:00-cr-00523,0,2000-07-20,2000-07-20,2000-07-17,,No,,,25000,,24,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,PACER,
838,AEM Inc.,plea,Fraud - General,,Florida - Middle District,United States,No,USA v. AEM Inc. et al,6:08-cr-00231,157,2010-07-27,2010-07-27,2010-07-27,,No,0,0,0,,0,200000000,200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,PACER,
566,AEP Energy Services,DP,Fraud - General,No,USDOJ - Criminal Division - Fraud Section,United States,No,,,,2005-01-26,,,,No,0,,30000000,,15,,30000000,Yes,No,No,"(class action for securities violations: Albert Fadem Trust v. Amer. Elec. Power Co., Inc. 334 F. Supp. 2d 985); (Class action for securities violation: Kulinski v. Amer. Elec. Power. Co., Inc. 2003 WL 24032299 - consolidated with above case); (class action by traders under Commodity Exchange Act In re Natural Gas Commodity Litigation 337 F. Supp. 2d 498) Class action for In re Natural Gas Commodity Litigation: AEP's portion = $2,500,000 (see Settlement Agreement)",2500000,,No,No,Fraud (commodities reports),"CFTC: $30,000,000 civil penalty; FERC: $21,000,000 civil penalty","Yes; including remedial actions, cooperation, acknowledging responsibilitY.",Yes,No,$30M fine.,No,No,,No,No,Yes,Yes; CFTC; FERC,No,No; None cited,Yes,,51000000,None,Yes,51000000,No,2005,,
2955,"AES Laurel Mountain, LLC",plea,Wildlife,,West Virginia - Northern District,United States,,"USA v. AES Laurel Mountain, LLC",2:15-cr-00023,21,2016-02-12,2016-02-12,2016-01-22,,No,,,30000,,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,PACER,
839,AEY Inc.,plea,Fraud - General,,Florida - Southern District,United States,No,USA v. Aey Inc.et al,1:08-cr-20574,1051,2011-01-07,2011-01-07,2009-08-28,,No,42720000,,500000,,24,,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,PACER,Divest of Boston asphalt corp.
6,AGA Medical,DP,FCPA,No,USDOJ - Criminal Division - Fraud Section,United States,No,,,,2008-06-03,,,,No,0,,2000000,,36,,2000000,Yes,Yes; Assigning one or more senior corporate officials to oversee compliance,No,"(contract case with Middle Eastern supplier: Hijazi Medical Supplies v. AGA Medical Corp. 2008 WL 4861517) Case dismissed without prejudice (no settlement; in fact AGA Medical received $500,000 for counterclaim on breach of contract - see Docket: #0:07-cv-03419-DSD-JJJG)",No,System of internal accounting controls; implementation of compliance code,Yes,,FCPA,,"Yes; including timely disclosure, cooperation, remedial measures.",Yes,No,$2M fine.,Yes,No,,No,No,Yes,,Yes,Yes; Internal investigation with results reported to DOJ; cooperation with DOJ; implementation of compliance and ethics program,No; But withholding on grounds of privilege shall be a factor in determining whether full cooperation exists,,,None,Yes,0,No,2008,,
7,AGCO Corp.,DP,FCPA,No,USDOJ - Criminal Division - Fraud Section,United States,No,,,,2009-09-29,,,,Yes,0,,1600000,,36,,1600000,Yes,Yes; Assigning one or more senior corporate officials to oversee compliance,No,,No,Implement compliance and ethics program; enhance compliance policies and procedures; must require annual brief report on progress and experience,Yes,No,Wire fraud; falsification of books and records in violation of FCPA,,Yes.,Yes,No,$1.6M fine,No,Yes; Periodic testing,,No,No,No,Yes; SEC,Yes,Yes; Internal investigation; remedial actions taken,No,15907000,2400000,Securities and Exchange Commission (SEC) (separate agreement),Yes,18307000,No,2009,,"AGCO also paid $630,000 in disgorgement of profits for charges by Danish State Prosecutor for Serious Economic Crime."
840,AH Computer Consulting Inc.,plea,Bribery,,Virginia - Eastern District,United States,No,"USA v. AH Computer Consulting, Inc.",1:13-cr-00022,8,2013-07-26,2013-07-26,2013-04-26,,No,400,0,75000,0,24,0,75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,PACER,
648,AIG,NP,Fraud - Securities,No,USDOJ - Criminal Division - Fraud Section,United States,Yes,,,,2006-02-07,,,,Yes,0,25000000,0,,36,,25000000,Yes,No,Yes; Consultant hired with SEC and NY AG and Superintendeant approval and reporting to them (not to DOJ),,,Remediation plan re: controls over financial reporting; training and education program; new CEO & CFO; Regulatory Compliance and Legal Committee; enhance Code of Conduct for employees,Yes,Yes,Securities Fraud,,"Yes; cooperation, acceptance of responsibility, consent to civil settlement.",Yes,No,"$25M paid to USPIS Consumer Fraud Fund; $100K fine + $800,000,000 disgorged profits paid pursuant to consent and undertakings in SEC Action (incorporated by reference)",No,No,SEC Consent Decree,No,Yes,No,Yes; SEC,Yes,"Yes; Certain corporate governance reforms, incl. ensuring committee review of internal audit, ensuring disclosure committee establishment, establishing enhanced governance procedures and implementing a general insurance risk-transfer policy",Yes,700000000,100000000,Securities and Exchange Commission (SEC); U.S. Postal Inspection Service (USPIS),Yes,800000000,No,2006,,
649,AIG Financial Products Corp.,NP,Fraud - Securities,No,USDOJ - Criminal Division - Fraud Section,United States,Yes,,,,2004-11-30,,,,No,0,,80000000,,24,,80000000,Yes,No,No,,,Including retaining an Independent Consultant who will review the policies and procedures of the transaction review committee.,Yes,Yes; Final Judgment in SEC action,Securities Fraud,,Yes.,Yes,No,,Yes,No,SEC Consent Decree,No,No,No,Yes; SEC (against AIG parent company) ($39.8 million in disgorgement; $6.5 million in prejudgment interest),Yes,Yes; Agreements cites adoption of internal compliance measures,Yes,46366000,,Securities and Exchange Commission (SEC),Yes,46366000,No,2004,,
9,AIG-FP PAGIC Equity Holding Corp.,DP,Fraud - Securities,No,"Pennsylvania - Western District,USDOJ - Criminal Division - Fraud Section",United States,Yes,,,,2004-11-30,,,,No,0,,0,,24,,0,Yes,No,No,,,Series of reforms addresing the inegrity of client and third-party transactions; establishment of transaction review committee,Yes,Yes; Final Judgment in SEC action,Securities Fraud,,Yes.,Yes,No,$80M in fines (assesed assessed against AIG Financial Products Corp.); Disgorgement of $39.8M in fees and $6.5M in prejudgment interest,Yes,No,SEC Consent Decree,No,No,No,Yes; SEC (against AIG parent company) ($39.8 million in disgorgement; $6.5 million in prejudgment interest),Yes,Yes; Agreements cites adoption of internal compliance measures,No,46366000,,Securities and Exchange Commission (SEC),Yes,46366000,No,2004,,
571,AOL,DP,Fraud - Securities,No,"USDOJ - Criminal Division,Virginia - Eastern District",United States,No,,,,2004-12-14,,,,Yes,150000000,,60000000,,24,150000000,210000000,Yes,No,No,"Yes (class action - In re AOL Time Warner, Inc. Sec. & ""ERISA"" Litig., 381 F. Supp. 2d 192) $2.65 billion settlement (In re AOL Time Warner, Inc., 2006 WL 903236)",2650000000,"New policies and internal controls, including future reporting to the DOJ of any substantial, credible evidence of new federal crimes",Yes,No,Securities Fraud,"$300,000,000 (with Time Warner in March 2005, see: http://www.sec.gov/litigation/litreleases/lr19147.htm)","Yes; acceptance of responsibility, adoption of internal controls, cooperation.",Yes,,$150M to compensation/settlement fund; $60M fine,Yes,No,,No,No,Yes,Yes; SEC,No,No; None cited,Yes,0,300000000,Securities and Exchange Commission (SEC),Yes,300000000,No,2004,,
841,APT Vending Inc.,plea,Gambling,,Indiana - Northern District,United States,No,USA v. APT Vending Inc,2:01-cr-00040,18,2001-06-28,2001-06-28,2001-03-16,,No,,,40000,,0,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,PACER,
842,ARG Associates Inc.,plea,Fraud - General,,Georgia - Northern District,United States,No,USA v. Rodwell et al,1:00-cr-00370,74,2001-06-25,2001-06-25,2001-01-16,,No,,,0,,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,PACER,
800,ARVEST Privatbank AG,NP,Fraud - Tax,Yes,USDOJ - Tax Division,Switzerland,Yes,,,,2015-06-25,,,,No,0,0,1044000,0,48,0,1044000,,,,,,,,,Tax fraud,,,,,,,,,,,,,,,,,,,,,,2015,USDOJ - Tax Division - Swiss Bank Program (see: https://www.justice.gov/tax/swiss-bank-program),
843,ATV Adventures Inc.,plea,Other,,Nevada,United States,No,USA vs ATV Adventures Inc et al,2:04-CR-00244,23,2004-12-02,2004-12-02,2004-06-28,,No,,60000,0,,0,13578,73578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,PACER,
