name,tel,url,addr1,addr2,city,zip,longitude,latitude
Parker's Box,(718) 388-2882,http://www.parkersbox.com/exhibitions/current/08/EDITH_PressRelease.pdf,193 Grand St,,Brooklyn,11211,-73.96044471,40.71430916
Parsons Galleries,(212) 229-8987,http://www.parsonswest.com/,2 W. 13th St.,,New York,10011,-73.99478186,40.73539495
Patricia Laligant Photographs,(212) 252-9922,http://www.patricialaligant.com/intro.htm,150 W 28th St,,New York,10001,-73.99282055,40.74676021
Patrick's Gallery,(212) 741-7453,http://outalot.com/listings/318942-Patricks-Gallery,220 W 19th St,,New York,10011,-73.99851017,40.74186878
Paul Kasmin Gallery,(212) 563-4474,http://www.paulkasmingallery.com/,293 10th Ave,,New York,10001,-74.00272286,40.75019275
Paula Cooper Gallery,(212) 255-1105,http://www.paulacoopergallery.com/,534 W. 21st St.,,New York,10011,-74.00689773,40.7469199
Peck Ian Fine Paintings Ltd,(212) 396-2442,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D01E8-3048-28EB-92857B8592DAED09,980 Madison Ave,,New York,10021,-73.96365013,40.77476053
Peder Bonnier Inc,(646) 638-0878,http://web2.userinstinct.com/30816857-peder-bonnier-inc.htm,206 W 23rd St,Fl 4,New York,10011,-73.99623914,40.74405995
Perimeter Gallery,(212) 675-1585,http://www.spoke.com/info/c633Fr3/PerimeterGalleryInc,511 W 25th St,,New York,10001,-74.00389939,40.74938125
Perlow Rich Katharina Gallery Inc,(212) 644-7171,http://www.artnet.com/katharinarichperlow.html,41 E 57th St,,New York,10022,-73.97163996,40.76236541
Peter L Villa Fine Art,(212) 371-1196,http://peterlvillafineart.com/,110 E 57th St,,New York,10022,-73.97029437,40.7611697
Peter Rose Gallery,(212) 759-8173,http://peterrosegallery.com/,200 E 58th St,Apt 20C,New York,10022,-73.96690495,40.76057555
Peters Gerald Gallery,(212) 628-9760,http://www.gpgallery.com/,24 E 78th St,,New York,10075,-73.96316937,40.77566356
Phoenix Design Ltd,(718) 423-3458,http://www.topix.net/yp/flushing-ny/2161581053-phoenix-design-ltd,21415 41st Ave,,Bayside,11361,-73.77059062,40.76366855
Phoenix Gallery,(212) 226-8711,http://www.phoenix-gallery.com/phoenixgalleryfellowship2009.pdf,210 ELEVENTH AVENUE,SUITE 902,New York,10001,-74.00599167,40.74977525
Phoneup,(212) 219-8287,http://www.nyc.com/arts__attractions/phoneup.642/map_location.aspx,55 Chrystie St,,New York,10002,-73.99502605,40.71651672
Photo & Art Gallery,(718) 471-7840,http://www.yelp.com/biz/photo-and-art-gallery-far-rockaway,1023 Beach 20th St,,Far Rockaway,11691,-73.75339447,40.6029621
Photo Collection Gagliardi,(212) 229-1816,http://www.gagliardiphoto.com/contact.htm,27 W 20th St,,New York,10011,-73.99269647,40.74063767
Photo District Gallery,(212) 807-8787,http://wap.outalot.com/listings/319183-Photo-District-Gallery,37 W 20th St,Lbby,New York,10011,-73.99310574,40.74080485
Phyllis Lucas Gallery Inc,(212) 755-1516,http://www.phyllislucasgallery.com/,981 2nd Ave,,New York,10022,-73.96795086,40.75614508
Picture This Corporate Art,(718) 625-2722,http://www.ptcanyc.com/,249 Smith Street,# 102,Brooklyn,11231,-73.9926035,40.68324194
Pierogi 2000,(718) 599-2144,http://www.pierogi2000.com/,177 N 9th St,,Brooklyn,11211,-73.9557816,40.71875035
Place Des Vosges,(212) 995-2899,http://local.yahoo.com/info-11035506-place-des-vosges-manhattan,816 Broadway,,New York,10003,-73.99094408,40.73276122
Plane Space,(917) 606-1268,http://www.artinfo.com/galleryguide/20261/6796/115454/plane-space-new-york/exhibition/gangbusters/,102 Charles St,,New York,10014,-74.00518363,40.73439963
Plaster Palace,(718) 621-3175,http://www.merchantcircle.com/business/Plaster.Palace.718-621-3175,5305 18th Ave,,Brooklyn,11204,-73.98315035,40.62575957
Plaza Holding Inc,(212) 247-4744,http://m.nyc.com/arts__attractions/plaza_holding_inc.300/map_location.aspx,15 W 55th St,,New York,10019,-73.97575362,40.76215882
Plaza Holding Inc,(212) 956-1900,http://www.nyc.com/arts__attractions/plaza_holding_inc.300/whats_nearby.aspx,15 W 55th St,,New York,10019,-73.97568006,40.76226036
Plaza Watch & Jewelry Exchange,(212) 246-2000,http://local.botw.org/New_York/New_York/Plaza_Watch_and_Jewelry_Exchange/55631196.html,145 W 57th St,,New York,10019,-73.97867414,40.76526144
Pleiades Gallery,(646) 230-0056,http://www.pleiadesgallery.com/index.html,530 W 25th St,,New York,10001,-74.00477069,40.74937493
Plum Blossom Gallery,(212) 719-7008,http://www.plumblossoms.com/,555 W 25th St,,New York,10001,-74.00537358,40.75017633
Polizzi Fine Art,(718) 680-6777,http://www.polizzifineart.com/,7813 3rd Ave,,Brooklyn,11209,-74.02860202,40.62887622
Poller Leah,(212) 274-1704,http://www.sculpture.org/portfolio/sculptorPage.php?sculptor_id=1003310,98 Greene St,,New York,10012,-73.99973976,40.72417671
Portara Gallery,(718) 224-7093,http://newyork.citysearch.com/profile/map/12036088/bayside_ny/portara_gallery.html,4720A Bell Blvd,,Bayside,11361,-73.76753264,40.75653978
Portico Fine Art,(212) 941-8248,http://www.porticony.com/,139 Spring St,,New York,10012,-74.00082666,40.72425932
Portrait Gallery,(718) 377-8762,http://brooklyn.ny.povo.com/Portrait_Gallery_%28Kings_Highway%29,5100 Kings Plz,,Brooklyn,11234,-73.92228135,40.60993574
Postmasters Gallery,(212) 727-3323,http://www.postmastersart.com/,459 W 19th St,,New York,10011,-74.0053466,40.74520243
Praxis International Art,(212) 772-9478,http://galleries.absolutearts.com/galleries/praxis-art/index.html,25 E 73rd St,Fl 4,New York,10021,-73.96513542,40.77277684
Prieto International Attorney In Fact Johnpoll,(212) 267-6790,http://m.nyc.com/arts__attractions/prieto_international_attorney_in_fact_johnpoll.793/whats_nearby.aspx?sec=pha,127 Fulton St,,New York,10038,-74.00723565,40.71024984
Prince Street Gallery,(646) 230-0246,http://www.princestreetgallery.com/contact.html,530 W 25th St,,New York,10001,-74.0046948,40.7493379
Professional Fine Arts Svces Inc,(646) 336-6613,http://www.nyc.com/arts__attractions/professional_fine_arts_svces_inc.724/editorial_review.aspx,141 W 20th St,,New York,10011,-73.9957317,40.74191723
Proposition the,(212) 242-0035,http://www.theproposition.com/,162 11th Ave,,New York,10011,-74.00714842,40.7482054
Public Art Fund,(212) 980-4575,http://www.publicartfund.org/,1 E. 53d St.,,New York,10022,-73.97518754,40.76037548
Puerto Rican Work Shop Inc,(212) 534-7534,http://www.nyc.com/arts__attractions/puerto_rican_work_shop_inc.1733/whats_nearby.aspx,121 E 106th St,,New York,10029,-73.94672759,40.79269985
Pushman Gallery Inc,(212) 582-0130,http://local.botw.org/New_York/New_York/Pushman_Gallery_Inc/10887507.html,154 W 57th St,,New York,10019,-73.97991308,40.76499909
Pytlak Art Studio,(718) 599-1265,http://www.anitapytlak.net/uk/index.html,573 Metropolitan Ave,,Brooklyn,11211,-73.94988527,40.71427613
Queen Art Publishers Inc,(212) 274-0237,http://www.lights.ca/publisher/db/9/3739.html,481 Washington St,,New York,10013,-74.00979549,40.72549195
Questroyal Fine Art,(212) 744-3586,http://www.questroyalfineart.com/,903 Park Ave,Apt 3A,New York,10021,-73.96001774,40.7757238
Rabenou Yris Ancient Arts,(212) 486-0661,http://www.antiquecollectiblestore.com/detail/48742/rabenou-yris-ancient-arts.html,249 E 61st St,,New York,10021,-73.9638362,40.76222398
Radio House Gallery,(212) 620-7630,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6139-3048-28EB-92ED919F6F1756B9,601 W 26th St,,New York,10001,-74.00698523,40.75178267
Rafael Gallery,(212) 744-8666,http://www.getfave.com/locations/888896-rafael-gallery,241 E 59th St,,New York,10022,-73.96484847,40.76106891
Rainbow Fine Art Inc,(212) 585-2587,http://local.botw.org/New_York/New_York/Rainbow_Fine_Art_Inc/11030300.html,15 E 82nd St,,New York,10028,-73.96108478,40.77866481
Ralph Chait Galleries Inc,(212) 397-2818,http://www.rmchait.com/,724 5th Ave,,New York,10019,-73.97472467,40.76269799
Randel Gallery Inc,(212) 861-6650,http://www.antiquesandfineart.com/dealers/about.cfm?id=427&ap=1,49 East 78th Street,1B,New York,10021,-73.96194182,40.77557044
Randolph & Tate Assocs,(212) 595-6302,http://directory.northjersey.com/randolph+tate+assocs.9.7658139p.home.html,234 5th Ave,,New York,10001,-73.9880468,40.74435684
Raphael Fodde Editions,(718) 624-6048,http://www.yelp.com/biz/raphael-fodde-editions-brooklyn,70 WASHINGTON ST,,Brooklyn,11201,-73.98997736,40.7020874
Rare art Gallery,(212) 268-1520,http://www.rare-gallery.com/,521 W 26th St Bsmt,,New York,10001,-74.00368999,40.75021573
Raydon Gallery,(212) 288-3555,http://www.rateitall.com/i-410005-raydon-gallery.aspx,1091 Madison Ave,,New York,10001,-73.96032668,40.77833721
Red Dot,(212) 675-0448,http://www.rateitall.com/i-410007-red-dot.aspx,140 W 22nd St,,New York,10011,-73.9950592,40.74274458
Reece Galleries Inc The,(212) 333-5830,http://www.reecegalleries.com/,24 W 57th St,,New York,10019,-73.97570996,40.76335607
Reeves Contemporary Inc,(212) 714-0044,http://www.cynthia-reeves.com/,535 W 24th St,,New York,10011,-74.00518821,40.74928258
Regina's Art Center,(718) 837-5807,http://www.reginasartcenter.com/contact.html,1921 Benson Ave,,Brooklyn,11214,-74.00172859,40.60337998
Rehs Galleries Inc,(212) 355-5710,http://www.rehs.com/,5 E 57th St,Fl 8,New York,10022,-73.97311044,40.762974
Reinhold Brown Gallery,(212) 734-7999,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6945-3048-28EB-92C3310EAAC2B0DD,1100 Madison Ave,Ph,New York,10028,-73.96068894,40.77864024
Renaissance Gallery,(212) 234-0974,http://www.livevillage.com/newyork/art/renaissance-gallery.html,300 W 147th St,,New York,10039,-73.94134747,40.82412358
Resnick Ira Inc,(212) 223-1009,http://www.nyc.com/search/find.aspx?secid=2&name=Resnick%20Ira%20Inc,133 E 58th St,Ste 1001,New York,10022,-73.96881061,40.76189453
Ricco Maresca Gallery,(212) 627-4819,http://www.riccomaresca.com,529 W 20th St,,New York,10011,-74.00684653,40.74661225
Richard Gray Gallery,(212) 472-8787,http://www.richardgraygallery.com/default.asp,1018 Madison Ave,,New York,10021,-73.96268744,40.77603512
Richard Solomon,(212) 223-9545,http://www.richardsolomon.com/,305 E 50th St,,New York,10022,-73.96796822,40.75490203
Richard York Gallery,(212) 772-9155,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6E92-3048-28EB-924791189BBB08A3,21 E. 65th St.,2nd. Fl.,New York,10065,-73.96884242,40.76764185
Rienzo Gallery,(212) 288-2226,http://www.artnet.com/Galleries/About.asp?G=&gid=166017&which=&rta=http://www.artnet.com,20 E 69th St,,New York,10021,-73.96715177,40.7698308
Ritter-Antik Inc,(212) 673-2213,http://www.ritterantik.com/index.php,35 E 10th St,,New York,10003,-73.99270194,40.73250427
Rivington Bar & Art Gallery,(212) 253-7703,http://www.nyc.com/arts__attractions/rivington_bar__art_gallery.1676/whats_nearby.aspx,174 Rivington St,,New York,10002,-73.98443866,40.71908748
Robert Lee Morris Inc,(212) 431-9405,http://www.robertleemorris.com/contactus.php,400 W Broadway,,New York,10012,-74.00236651,40.72440709
Robert Mann Gallery,(212) 989-7600,http://www.robertmann.com/,210 11th Ave,,New York,10001,-74.00591124,40.74974338
Robert Miller Gallery Inc,(212) 366-4774,http://www.robertmillergallery.com/index2.html,526 W 26th St,,New York,10001,-74.00423399,40.74998086
Robert Steele Gallery,(212) 243-0165,http://www.robertsteelegallery.com/,511 W 25th St,,New York,10001,-74.00398548,40.74942346
Robertson African Arts,(212) 206-0912,http://wap.outalot.com/listings/314463-Robertson-African-Arts,36 W 22nd St,Apt 4,New York,10010,-73.99212377,40.74150835
Rogallerycom,(212) 732-6887,http://www.auction-directory.info/auction/rogallerycom-300-east-74th-street-new-york-ny-212-732-6887/1283,300 East 74th Street,,New York,10021,-73.95726809,40.7697075
Ronald Feldman Fine Arts,(212) 226-3232,http://www.feldmangallery.com/pages/home_frame.html,31 Mercer St,,New York,10013,-74.00185591,40.72116039
Roosevelt Island Visual Arts Assoc,(212) 308-6630,http://rivaa.com/,527 Main St,,New York,10044,-73.9564351,40.75359867
Rosen Andrea Gallery Inc,(212) 627-6000,http://www.andrearosengallery.com/,525 W 24th St,,New York,10011,-74.00493762,40.74904372
Rosenberg & Kaufman Fine Art,(212) 431-4838,http://www.robertkuszek.com/,115 Wooster St,,New York,10012,-74.00070941,40.72502497
Rosenberg Paul & Co,(212) 472-1134,http://local.botw.org/New_York/New_York/Rosenberg_Paul_and_Co/11505286.html,20 E 79th St,,New York,10021,-73.96251599,40.77623796
Ross Luise Gallery,(212) 343-2161,http://www.luiserossgallery.com/,511 West 25 Street,,New York,10001,-74.00391752,40.74945792
Roth,(212) 717-9067,http://www.andrewroth.com/,160A E 70th St,,New York,10021,-73.96253716,40.76883963
Rotunda Gallery,(718) 875-4047,http://www.nyc-arts.org/organizations/1668/rotunda-gallery,33 Clinton St,,Brooklyn,11201,-73.99146799,40.69515734
Royal Fine Art,(212) 452-4297,http://m.nyc.com/arts__attractions/royal_fine_art.361/map_location.aspx,1158 Lexington Ave,,New York,10021,-73.95868741,40.77550889
Royal-Athena Galleries,(212) 355-2033,http://www.royalathena.com/,153 E 57th St,Ph,New York,10022,-73.96804937,40.76078611
Rudolph De Paola Art Gallery,(718) 238-6026,http://www.merchantcircle.com/business/Rudolph.de.Paola.Art.Gallery.718-238-6026,6 Parrott Pl,,Brooklyn,11228,-74.02172407,40.6179935
Ruesch Jeffrey Fine Arts,(212) 925-1137,http://www.rateitall.com/i-410032-ruesch-jeffrey-fine-arts.aspx,134 Spring St,Fl 2,New York,10012,-74.00107131,40.72382475
Russeck Gallery,(212) 475-9939,http://local.botw.org/New_York/New_York/Russeck_Gallery/11582297.html,478 W Broadway,,New York,10012,-74.00056532,40.72679316
Russian World,(212) 399-6500,http://www.nyc.com/arts__attractions/russian_world.1710/map_location.aspx,18 W 55th St,,New York,10019,-73.97604749,40.76192574
S & A Art Gallery Inc,(212) 794-5251,http://www.masterseek.com/id/48817904/S-and-A-Art-Gallery.htm,1248 Lexington Ave,,New York,10028,-73.95658935,40.77844643
S 2 Editions Ltd,(212) 206-7345,http://www.nyc.com/arts__attractions/s_2_editions_ltd.958/editorial_review.aspx,155 Ave of the Americas,,New York,10013,-74.00479226,40.72529481
S E Art & Design Inc,(212) 980-1914,http://www.seartanddesign.com/contactus.html,232 E 59th St,,New York,10022,-73.96523801,40.76074545
Sabarsky Serge Gallery,(212) 628-6281,http://local.botw.org/New_York/New_York/Sabarsky_Serge_Gallery/11637783.html,58 E 79th St,,New York,10021,-73.96160397,40.77589273
Sabbatique Ltd,(212) 213-9344,http://www.sabbatiqueltd.com/contact.htm,10 Waterside Plz,,New York,10010,-73.97398004,40.73684452
Sabrina Enterprise.Com Artworks Sales and Rprdctns,(718) 335-5088,http://www.nyc.com/arts__attractions/sabrina_enterprisecom_artworks_sales_and_rprdctns.1874/editorial_review.aspx,10022 32nd Ave,,East Elmhurst,11369,-73.86790725,40.75905864
Sacks Fine Art,(212) 333-7755,http://sacksfineart.com/,229 East 60th Street,,New York,10022,-73.96475381,40.76182789
Safani Gallery Inc,(212) 570-6360,http://local.botw.org/New_York/New_York/Safani_Gallery_Inc/56446980.html,980 Madison Ave,,New York,10021,-73.96369841,40.77483294
Salz Trager Janet,(212) 744-6080,http://metroproper.com/business/profile/view/&id=59220,700 Park Ave,,New York,10021,-73.96550966,40.76954041
Sam's Souk,(212) 535-7210,http://www.manta.com/coms2/dnbcompany_8m39fn,979 Lexington Ave,,New York,10021,-73.96253151,40.76945601
Sanada Ikkanart Intl,(212) 734-3055,http://local.botw.org/New_York/New_York/Sanada_Ikkanart_Intl/154034137.html,30 E 85th St,,New York,10028,-73.95977784,40.78007652
Sands & Company Inc Fine Art At Madison Av,(212) 988-3900,http://www.nyc.com/arts__attractions/sands__company_inc_fine_art_at_madison_av.848/editorial_review.aspx,30 E 76th St,,New York,10021,-73.96342194,40.7741378
Sara Meltzer On View,(212) 343-8256,http://www.sarameltzergallery.com/artist.php?artist=tallichet&p=cv,588 Broadway,#612,New York,10012,-73.99709363,40.72470086
Sarafina Inc,(718) 522-1083,http://m.nyc.com/arts__attractions/sarafina_inc.739/whats_nearby.aspx?sec=att,411 Myrtle Ave,,Brooklyn,11205,-73.96937268,40.69329479
Sarajo Inc,(212) 966-6156,http://www.yelp.com/biz/sarajo-inc-new-york,130 Greene St,,New York,10012,-73.99880177,40.72527107
Sarina Tang Fine Art,(212) 242-9001,http://web2.userinstinct.com/30817016-sarina-tang-fine-art.htm,535 W 23rd St,,New York,10011,-74.00525478,40.74841076
Savacou Galleries,(212) 473-6904,http://www.artchain.com/cgi-bin/showorganization.cgi?org=150,240 E 13th St,,New York,10003,-73.98626836,40.73178218
Sayn-Wittgenstein,(212) 288-1493,http://www.sw-fineart.com/,155 E 72nd St,,New York,10021,-73.96141027,40.77036691
Schellmann Editions,(212) 219-1821,http://www.editionschellmann.com/,210 11th Ave,,New York,10001,-74.00585462,40.74982694
Schickler Howard Fine Art,(212) 431-6363,http://www.schicklerart.com/,100 Water St,,Brooklyn,11201,-73.98992302,40.70287472
Schillay Fine Art,(212) 861-8353,http://www.schillay.com/contact.html,520 E 72nd St,,New York,10021,-73.95267538,40.76613926
Schiller & Bodo Fine Art,(212) 772-8627,http://www.schillerandbodo.com/,120 E 65th St,,New York,10021,-73.96628743,40.76612067
Schlesinger Gallery,(212) 734-3600,http://newyork.maplist.org/viewthread.php?tid=442872,24 E 73rd St,,New York,10021,-73.96547437,40.77245892
Scholten Japanese Art,(212) 585-0474,http://www.artinfo.com/galleryguide/19648/6194/scholten-japanese-art-new-york/inventory/,63 E 66th St,,New York,10021,-73.96707156,40.76771754
Schonfeld R D & Co Inc,(212) 755-7005,http://www.nyc.com/arts__attractions/schonfeld_r_d__co_inc.288/whats_nearby.aspx,349 E 49th St,Apt 6B,New York,10017,-73.96698518,40.75363538
Sculpture Center,(718) 361-1750,http://www.sculpture-center.org/,44-19 Purves St,,Long Island City,11101,-73.94081427,40.74692133
Sean Kelly Inc,(212) 239-1181,http://www.skny.com/,526 W 29th St,,New York,10001,-74.00306879,40.75188382
Sears-Peyton Gallery,(212) 966-7469,http://www.searspeyton.com/html/home.asp,210 11th Ave,,New York,10001,-74.00579913,40.74991739
Seaside Summer Concert Series Inc,(718) 469-1912,http://www.nyc.com/arts__attractions/seaside_summer_concert_series_inc.1588/editorial_review.aspx,572 Flatbush Ave,,Brooklyn,11225,-73.96089004,40.65968268
Second Ave Art Expo,(212) 223-9095,http://www.merchantcircle.com/business/Second.Ave.Art.Expo.212-223-9095,980 2nd Ave,,New York,10022,-73.96741088,40.75583142
Seibold Eleanor,(212) 988-4731,http://www.nyc.com/arts__attractions/seibold_eleanor.1833/map_location.aspx,1601 York Ave,,New York,10028,-73.94807967,40.77506696
Senior & Shopmaker,(212) 213-6767,http://www.seniorandshopmaker.com/,21 E 26th St,,New York,10010,-73.98681735,40.7432733
Sepia International Inc the,(212) 645-9444,http://www.sepia.org/,148 W 24th St,Fl 11,New York,10011,-73.9945027,40.74425013
Serbin Inna,(212) 249-5252,http://www.nyc.com/arts__attractions/serbin_inna.1675/whats_nearby.aspx,342 E 77th St,,New York,10021,-73.95440567,40.77111187
Serger Helen La Boetie,(212) 535-4865,http://boundlessgallery.com/directory/gallery/618/Helen-Serger-LA-Boetie,9 E 82ND ST,STE 3A,New York,10028,-73.96122592,40.77875555
Seven Colors,(212) 681-9091,http://www.livevillage.com/newyork/art/seven-colors.html,555 5th Ave,,New York,10017,-73.97882344,40.75567804
Shades of Art,(718) 834-0084,http://www.merchantcircle.com/business/Shades.of.Art.718-834-0084,47 Flatbush Ave,,Brooklyn,11217,-73.97949384,40.68753305
Shainman Jack Gallery,(212) 645-1701,http://www.jackshainman.com/,513 W 20th St,,New York,10011,-74.0062634,40.74636555
Shapolsky Anita Gallery,(212) 452-1094,http://www.anitashapolskygallery.com/,152 E 65th St,,New York,10021,-73.96455977,40.76539575
Shawn Dulaney Studio,(212) 255-7986,http://www.shawndulaney.com/,34 W 22nd St,,New York,10010,-73.99205567,40.74147187
Shepherd & Derom Galleries,(212) 861-4050,http://www.shepherdgallery.com/feature.html,58 E 79th St,,New York,10021,-73.96166653,40.77579399
Shickman H Gallery,(212) 249-3800,http://whrrl.com/place/1220422/shickman-h-gallery-new-york,220 E 72nd St,,New York,10021,-73.95972631,40.76901768
Shulman B & M Inc,(718) 646-6022,http://brooklyn.citysearch.com/profile/601893311/brooklyn_ny/b_m_shulman_inc.html,2623 Avenue U,,Brooklyn,11229,-73.94506548,40.60027352
Sigrid Freundorfer Fine Art,(212) 517-9700,http://oneartworld.com/Sigrid+Freundorfer+Fine+Art.html,790 Madison Ave,,New York,10021,-73.96809593,40.76848323
Silverstein Gallery Inc,(212) 929-4300,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CC5FF-3048-28EB-9213D9BD1A052B8E,520 West 21st St,,New York,10011,-74.00610392,40.7465867
Simply Marvelous Art,(718) 291-9862,http://www.simplymarvelousart.com/,159-15 Jamaica Ave,,Jamaica,11432,-73.79975655,40.70412221
Skoto Gallery,(212) 352-8058,http://www.skotogallery.com/homepage,529 W 20th St,,New York,10011,-74.0068503,40.74667658
Sloan McGill Collection,(718) 469-1930,http://www.nyc.com/arts__attractions/sloan_mcgill_collection.1894/editorial_review.aspx,150 Midwood St,,Brooklyn,11225,-73.95565084,40.65961513
Smack Mellon Studios,(718) 422-0989,http://www.smackmellon.org/,92 Plymouth St,,Brooklyn,11201,-73.98985972,40.70375074
Smith Gallery,(212) 744-6171,http://www.nyc.com/arts__attractions/smith_gallery.185/editorial_review.aspx,447 W 24th St,,New York,10011,-74.00265775,40.74814601
Society For Renewal of Christian Art,(212) 288-8186,http://www.nyc.com/arts__attractions/society_for_renewal_of_christian_art.340/editorial_review.aspx,217 E 66th St,,New York,10021,-73.96219073,40.76564703
Soho 20,(212) 367-8994,http://www.soho20gallery.com/New/exhibitions.html,511 W 25th St,,New York,10001,-74.00383257,40.74948118
Soho Photo Gallery,(212) 226-8571,http://www.sohophoto.com/,15 White St,,New York,10013,-74.00555633,40.71896419
Soldwedel Kipp,(212) 759-1175,http://www.ziphip.com/soldwedel+kipp.9.7196845p.home.html,470 Park Ave,,New York,10022,-73.970742,40.76224192
Soloman & Co Fine Art Gallerie,(212) 737-8200,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489DA839-3048-28EB-923E97BA2BE7589F,959 Madison Ave,,New York,10021,-73.96352461,40.77383485
Sonnabend Gallery Inc,(212) 627-1018,http://www.artnet.com/sonnabend.html,532 W 22nd St,,New York,10011,-74.00640433,40.74753287
Soufer Gallery,(212) 628-3225,http://www.soufergallery.com/,1015 Madison Ave,,New York,10075,-73.96219093,40.77578491
Spencer Brownstone Gallery,(212) 334-3455,http://www.spencerbrownstonegallery.com/000mailing.html,39 Wooster St.,,New York,10013,-74.00285195,40.72259291
Sperone Westwater,(212) 253-0648,http://www.speronewestwater.com/cgi-bin/iowa/index.html,121 Greene St,,New York,10012,-73.9992624,40.72544341
Spring,(718) 222-1054,http://www.spring3d.net/,126 Front St,,Brooklyn,11201,-73.98739581,40.70224828
Sragow Ellen Ltd,(212) 219-1793,http://www.sragowgallery.com/,153 West 27th Street,Room #505,New York,10001,-73.9930249,40.74652176
St Etienne Galerie,(212) 245-6734,http://www.gseart.com/,24 W 57th St,,New York,10019,-73.9756284,40.76331815
Staley-Wise Gallery,(212) 966-6223,http://www.staleywise.com,560 Broadway,,New York,10012,-73.99767009,40.72388325
Start,(212) 431-2414,http://www.livevillage.com/newyork/art/start.html,50 Greene St,,New York,10013,-74.00158103,40.72198834
State of Art,(718) 349-7250,http://www.merchantcircle.com/blogs/State.of.Art.718-349-7250,113 Franklin St,,Brooklyn,11222,-73.95791517,40.73022122
Steigrad Lawrence Fine Arts,(212) 517-3643,http://www.steigrad.com/,23 E 69th St,# 4F,New York,10021,-73.96622596,40.76982013
Stein Gertrude Gallery,(212) 535-0600,http://www.gallerygertrudestein.com/contact.htm,200 West 57th Street,,New York,10019,-73.98049754,40.76544489
Stephen Downes Gallery,(212) 274-9194,http://www.nyc.com/arts__attractions/stephen_downes_gallery.263/editorial_review.aspx,377 Broome St,,New York,10013,-73.99647297,40.72012487
Stewart Waltzer Co,(212) 675-4949,http://www.manta.com/coms2/dnbcompany_jr0lm4,200 W Houston St,Apt 3D,New York,10014,-74.0039409,40.72871353
